Close Date,Created Date,New Logo,Compagnie Region,Type,Stage,Billing Plan,Opportunity ID (18 Digit), ACV , Discount Amount , Amount , Net Amount 
5/26/17,5/4/17,1,North America,Direct - Cloud Product,Closed Lost,3 Years,72267051130851900000,431370,       ,225000,225000
12/29/16,11/29/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,33816333582238900000,22050,80850,147000,66150
12/29/16,12/9/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,33451870108833600000,32750,43200,96000,52800
9/9/16,4/20/16,1,North America,Direct - Cloud Product,Closed Won - Paid,4 Years,10816318367247100000,36694,44800,128000,83200
9/22/16,9/1/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,33122140495516900000,18700,9900,66000,56100
12/6/16,9/12/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,42708064548856100000,22400,28800,96000,67200
9/26/16,6/24/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,53237820806722600000,38000,111000,225000,114000
7/14/16,7/12/16,1,North America,Direct - OnPremise Product,Closed Won - Paid,3 Years,49347168538320200000,16500,16500,66000,49500
9/1/16,7/13/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,27549624192152900000,17600,13200,66000,52800
12/30/16,8/9/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,96250822035815900000,22050,80850,147000,66150
9/23/16,8/26/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,80227417717430800000,28420,61740,147000,85260
11/30/16,10/27/16,1,North America,Direct - OnPremise Product,Closed Won - Paid,3 Years,71085988809258700000,20000,6000,66000,60000
12/14/16,11/2/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,15718939955761400000,18000,12000,66000,54000
1/4/17,11/20/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,93458094346009100000,,,147000,147000
6/29/17,11/29/16,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,45255127493057700000,889100,492563,1875000,1382438
12/15/16,11/29/16,0,North America,Partner - OnPremise Product,Closed Lost,3 Years,12221937608526500000,32000,,96000,96000
5/2/17,12/6/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,2 Years,12198234816916400000,60000,30000,150000,120000
12/7/16,12/7/16,0,North America,Direct - OnPremise Product,Closed Lost,,78292702170885800000,32000,,32000,32000
12/29/16,12/8/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,88859453382526000000,15400,19800,66000,46200
3/20/17,12/9/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,41899631699549800000,51667,,96000,96000
1/30/17,12/12/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,12502352794474300000,67587,108000,225000,117000
3/14/17,12/14/16,1,North America,Direct - OnPremise Product,Closed Won - Paid,3 Years,32570126651885500000,71250,161250,375000,213750
7/5/17,12/23/16,1,North America,Partner - Cloud Product,Closed Lost,3 Years,85788697636350600000,52500,       ,157500,157500
2/16/17,12/28/16,1,North America,Direct - OnPremise Product,Closed Won - Paid,2 Years,29943608974836100000,74200,131600,280000,148400
1/4/17,12/28/16,0,North America,Partner - Cloud Product,Closed Lost,,69595028491555700000,,,32000,32000
7/25/17,12/29/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,88699658940436400000,84088,55512,139600,84088
3/30/17,12/29/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,68195445718610900000,62500,,62500,62500
2/16/17,1/5/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,66944865357032900000,32000,,32000,32000
3/8/17,1/16/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,72174068767262700000,80667,,147000,147000
7/24/17,2/14/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,70457678443248400000,75000,       ,225000,225000
1/4/17,12/10/15,0,North America,Partner - Cloud Product,Closed Lost,3 Years,14479285682852000000,,,96000,96000
9/30/16,10/20/15,1,North America,Direct - OnPremise Product,Closed Won - Paid,3 Years,99279906614053400000,27520,13440,96000,82560
5/31/16,1/4/16,0,North America,Partner - OnPremise Product,Closed Lost,,72504270691793600000,22000,,22000,22000
1/4/17,2/12/16,0,North America,Partner - OnPremise Product,Closed Lost,3 Years,68278690090883600000,32000,,96000,96000
6/8/17,2/22/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,93423336967983900000,75187,85948,157500,71552
5/19/16,2/19/16,0,North America,Partner - OnPremise Product,Closed Lost,,36292268608383700000,125000,,125000,125000
2/21/17,2/29/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,46810642142681000000,28800,9600,96000,86400
1/4/17,3/16/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,67870272880621300000,100000,,100000,100000
7/28/16,5/19/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,69085945183139600000,32000,,32000,32000
11/4/16,5/23/16,0,North America,Partner - Cloud Product,Closed Lost,,82275688230225900000,,,500000,500000
8/9/16,6/10/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,59827208388486300000,32000,,96000,96000
1/20/17,4/8/16,0,North America,Partner - OnPremise Product,Closed Lost,2 Years,44099833896665900000,73500,,147000,147000
9/23/16,4/18/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,47561076424817900000,47250,83250,225000,141750
5/16/16,4/26/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,91683614956274200000,38400,,115200,115200
10/12/16,5/2/16,0,North America,Direct - OnPremise Product,Closed Lost,3 Years,76831395229419300000,75000,,225000,225000
2/7/17,5/3/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,10117817897882700000,129827,,225000,225000
12/12/16,5/3/16,0,North America,Partner - OnPremise Product,Closed Lost,3 Years,69121687021727000000,52500,,157500,157500
9/23/16,5/9/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,35755549582132300000,59298,5156,64454,59298
6/30/16,5/17/16,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,48591943941730700000,45982,10992,96000,85008
9/9/16,9/8/16,1,North America,Direct - OnPremise Product,Closed Won - Paid,3 Years,70028376630885000000,45000,90000,225000,135000
2/16/17,9/13/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,71250705557673700000,80850,,147000,147000
3/24/17,9/20/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,35753364440505000000,118648,90000,225000,135000
11/11/16,6/20/16,0,North America,Partner - OnPremise Product,Closed Lost,3 Years,34186839139584300000,32000,,96000,96000
8/3/16,6/21/16,0,North America,Partner - OnPremise Product,Closed Lost,,80065885257499300000,22000,,22000,22000
12/21/16,6/21/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,17178262946809900000,122866,123750,375000,251250
12/19/16,7/5/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,63302215888012500000,97693,45000,225000,180000
2/21/17,7/20/16,0,North America,Partner - OnPremise Product,Closed Lost,2 Years,37404455294327300000,100000,,200000,200000
10/12/16,7/28/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,10578040257947300000,,,225000,225000
9/12/16,7/29/16,0,North America,Partner - Cloud Product,Closed Lost,,15860060193076300000,,,96000,96000
9/13/16,8/15/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,40331641652092700000,,,225000,225000
9/30/16,8/16/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,4 Years,33061940876247700000,23270,,93080,93080
5/24/17,8/16/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,88197660976645700000,32000,,32000,32000
12/20/16,8/22/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,5 Years,93170432353232500000,24000,40000,160000,120000
3/21/17,8/22/16,0,North America,Partner - OnPremise Product,Closed Lost,3 Years,68433002882221700000,78750,138750,375000,236250
11/18/16,8/22/16,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,85605872796393600000,100000,75000,375000,300000
3/3/17,8/24/16,1,North America,Partner - Cloud Product,Closed Won - Paid,Annual,55465318911629300000,64707,26460,49000,22540
8/1/17,5/15/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,74932812245671500000,75000,,75000,75000
7/19/17,5/18/17,1,North America,Partner - OnPremise Product,Closed Lost,,57425791622857600000,32000,,32000,32000
5/4/17,3/3/17,1,North America,Partner - Cloud Product,Closed Won - Paid,Annual,73192030901443700000,46750,4800,32000,27200
8/1/17,3/7/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,32885968869904800000,412080,193125,772500,579375
6/28/17,3/31/17,1,North America,Partner - Cloud Product,Closed Lost,Annual,51413900477207700000,166000,       ,75000,75000
7/26/17,4/10/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,68280681333901800000,32000,       ,96000,96000
5/9/17,4/12/17,1,North America,Direct - Cloud Product,Closed Won - Not Paid,3 Years,23404571057933400000,94322,130815,225000,94185
7/19/17,4/24/17,1,North America,Direct - Cloud Product,Closed Lost,,48428730548521800000,295000,       ,295000,295000
7/6/17,4/27/17,1,North America,Direct - Cloud Product,Closed Lost,3 Years,73172876400434600000,32000,       ,96000,96000
5/18/17,5/1/17,1,North America,Partner - Cloud Product,Closed Won - Paid,Annual,96410880158221800000,55000,       ,32000,32000
7/6/17,5/5/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,93574740819473700000,75000,       ,225000,225000
7/5/17,5/31/17,1,North America,Partner - OnPremise Product,Closed Lost,,57565137587356900000,18000,4000,22000,18000
7/24/17,6/2/17,1,North America,Partner - OnPremise Product,Closed Lost,,18262186537523900000,22000,,22000,22000
8/2/17,6/2/17,1,North America,Partner - OnPremise Product,Closed Lost,,65232990702891500000,17600,4400,22000,17600
6/27/17,6/13/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,49435349931120000000,22400,28800,96000,67200
7/12/17,2/27/17,1,North America,Direct - OnPremise Product,Closed Lost,,84952960515196500000,17600,,17600,17600
3/31/17,2/27/17,1,North America,Direct - Cloud Product,Closed Won - Paid,3 Years,91699968798152300000,25657,60570,96000,35430
5/1/17,2/27/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,87121054311197900000,17600,,17600,17600
3/31/17,2/27/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,54521167832635000000,37376,31941,96000,64059
5/1/17,3/1/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,49270072574408600000,17600,,17600,17600
3/31/17,3/2/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,57182425289306000000,13200,26400,66000,39600
4/25/17,3/8/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,20973655741581600000,17600,,17600,17600
3/31/17,3/8/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,41702040296190500000,17600,,17600,17600
6/30/17,3/8/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,19090247789103900000,17600,,17600,17600
6/28/17,3/15/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,87542511521799300000,48960,26880,96000,69120
3/28/17,3/22/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,65988786457912200000,17600,,17600,17600
3/31/17,3/22/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,4 Years,48440355985563200000,18750,53000,128000,75000
7/5/17,3/22/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,14861375876072300000,17600,4400,22000,17600
3/31/17,3/31/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,68603855573169600000,17600,13200,66000,52800
6/2/17,3/31/17,1,North America,Partner - OnPremise Product,Closed Lost,,77849227344787500000,17600,4400,22000,17600
4/27/17,4/4/17,1,North America,Partner - OnPremise Product,Closed Lost,,60491227001947600000,17600,,17600,17600
6/28/17,4/4/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,84534102238138800000,17600,13200,66000,52800
6/1/17,4/5/17,1,North America,Partner - OnPremise Product,Closed Lost,,70465139982610500000,24000,12000,36000,24000
7/12/17,4/6/17,1,North America,Partner - OnPremise Product,Closed Lost,,87757186081056200000,28000,4000,32000,28000
5/24/17,4/13/17,1,North America,Direct - Cloud Product,Closed Lost,Annual,27986725917523500000,45815,8970,29900,20930
4/24/17,4/20/17,1,North America,Direct - OnPremise Product,Closed Lost,,48170100942951100000,22000,,22000,22000
6/7/17,4/21/17,1,North America,Direct - OnPremise Product,Closed Won - Paid,Annual,37629875294232600000,27440,6860,34300,27440
7/25/17,4/24/17,1,North America,Partner - OnPremise Product,Closed Lost,3 Years,91759868423920200000,20000,36000,96000,60000
7/5/17,4/26/17,1,North America,Partner - OnPremise Product,Closed Lost,,18588965791453700000,11000,11000,22000,11000
5/26/17,4/28/17,1,North America,Direct - Cloud Product,Closed Won - Paid,2 Years,52192905482147200000,32800,8800,44000,35200
7/5/17,5/3/17,1,North America,Partner - OnPremise Product,Closed Lost,,85026954788944800000,18000,4000,22000,18000
7/14/17,6/14/17,1,North America,Partner - OnPremise Product,Closed Lost,,56847966739681600000,17600,4400,22000,17600
7/14/17,6/22/17,1,North America,Partner - OnPremise Product,Closed Lost,,51708606883845500000,22400,9600,32000,22400
6/29/17,6/28/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,31903060978340500000,16500,16500,66000,49500
8/2/17,7/28/17,1,North America,Partner - OnPremise Product,Closed Lost,,28163925036402100000,17600,4400,22000,17600
1/30/17,11/10/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,89540955219466400000,22000,,22000,22000
5/2/17,11/14/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,77792796210769800000,22000,,22000,22000
5/16/17,11/17/16,1,North America,Partner - OnPremise Product,Closed Lost,Annual,91072803183437600000,22000,,22000,22000
1/31/17,11/18/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,30470631833547900000,22000,,22000,22000
2/28/17,11/22/16,0,North America,Partner - OnPremise Product,Closed Lost,3 Years,22786841837347400000,17600,,52800,52800
5/16/17,12/9/16,1,North America,Direct - OnPremise Product,Closed Lost,Annual,50321948972953000000,22000,,22000,22000
1/31/17,12/14/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,95136455122779700000,22000,,22000,22000
3/7/17,1/9/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,71044647195072400000,22000,,22000,22000
2/1/17,1/9/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,33808560493489000000,22000,,22000,22000
8/1/17,1/10/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,48618859865877200000,22000,,22000,22000
2/22/17,1/19/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,93767481018543100000,22000,,22000,22000
3/31/17,1/20/17,1,North America,Partner - OnPremise Product,Closed Lost,Annual,50898302208630100000,38000,,38000,38000
6/27/17,1/20/17,1,North America,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,65080889278132200000,17600,13200,66000,52800
2/10/17,1/30/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,97948475883225600000,18000,,18000,18000
3/31/17,2/1/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,68068662981198800000,36090,35070,96000,60930
3/7/17,2/2/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,65395036187054500000,22000,,22000,22000
3/23/17,2/3/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,64905468805250500000,17600,13200,66000,52800
2/21/17,2/3/17,0,North America,Direct - OnPremise Product,Closed Lost,Annual,27495508559292600000,17600,,17600,17600
3/31/17,2/6/17,0,North America,Partner - OnPremise Product,Closed Lost,Annual,53300038935157900000,18000,,18000,18000
3/7/17,2/14/17,0,North America,Direct - Cloud Product,Closed Lost,Annual,84171215045583300000,22000,,54000,54000
3/31/17,2/14/17,1,North America,Partner - OnPremise Product,Closed Lost,,38197181414420000000,17600,,17600,17600
3/9/17,2/16/17,0,North America,Direct - OnPremise Product,Closed Lost,Annual,95871704202632600000,17600,,17600,17600
6/28/17,2/17/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,76844402719816800000,39600,26880,96000,69120
1/24/17,3/1/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,87436728078697900000,22000,,22000,22000
7/5/17,3/10/16,1,North America,Partner - OnPremise Product,Closed Lost,Annual,45989022146126700000,49000,,49000,49000
7/12/17,5/27/16,1,North America,Partner - OnPremise Product,Closed Lost,Annual,80623932001214800000,22000,,22000,22000
1/24/17,9/8/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,72274836551313700000,22000,,22000,22000
7/5/17,9/16/16,1,North America,Direct - OnPremise Product,Closed Lost,Annual,80233044778769500000,22000,,22000,22000
1/4/17,9/16/16,0,North America,Direct - OnPremise Product,Closed Lost,,28558804259194000000,40000,,40000,40000
5/16/17,9/20/16,1,North America,Partner - OnPremise Product,Closed Lost,Annual,86134867171203400000,49000,,49000,49000
7/12/17,6/14/16,1,North America,Direct - OnPremise Product,Closed Lost,Annual,42428211406236700000,32000,,32000,32000
7/5/17,6/23/16,1,North America,Direct - OnPremise Product,Closed Lost,3 Years,15909444669817400000,32000,,96000,96000
3/31/17,7/13/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,41601355311204100000,22000,,22000,22000
7/12/17,7/28/16,1,North America,Direct - OnPremise Product,Closed Lost,Annual,49814355278599800000,22000,,22000,22000
2/3/17,8/11/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,34649764647943000000,22000,,22000,22000
1/24/17,8/24/16,0,North America,Direct - OnPremise Product,Closed Lost,Annual,99552321471266800000,22000,,22000,22000
1/31/17,9/30/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,13542788677840000000,22000,,22000,22000
5/31/17,5/17/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,Annual,77641005124893000000,22000,,22000,22000
7/5/17,11/16/16,1,North America,Partner - OnPremise Product,Closed Lost,3 Years,48374181485359000000,75000,,225000,225000
2/23/17,12/16/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,21239598345803200000,49000,,49000,49000
7/5/17,12/28/16,1,North America,Partner - OnPremise Product,Closed Lost,Annual,38019216332577400000,49000,,49000,49000
1/26/17,1/12/17,0,North America,Direct - Cloud Product,Closed Lost,3 Years,56428395456185900000,,,200000,200000
3/15/17,1/19/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,93328192386223000000,363000,,750000,750000
3/28/17,1/19/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,73379632452951700000,73098,,147000,147000
2/21/17,1/23/17,0,North America,Direct - Cloud Product,Closed Lost,3 Years,43192483601390700000,150000,,450000,450000
3/6/17,1/24/17,1,North America,Partner - Cloud Product,Closed Won - Paid,Annual,83787171736453800000,30039,6600,22000,15400
3/1/17,1/27/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,79824779873106100000,100100,,300300,300300
3/31/17,1/30/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,79639007355616600000,38173,       ,66000,66000
7/24/17,2/2/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,83935158180185600000,34030,11220,66000,54780
3/9/17,2/11/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,95260718996991000000,144000,,432000,432000
2/22/17,2/14/17,0,North America,Partner - Cloud Product,Closed Lost,3 Years,47450241517696200000,23333,,70000,70000
7/26/17,9/14/15,1,North America,Partner - Cloud Product,Closed Lost,Annual,77395707142795700000,225000,       ,225000,225000
1/3/17,4/6/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,55509014297000900000,75000,,75000,75000
1/26/17,8/31/16,0,North America,Partner - Cloud Product,Closed Lost,3 Years,16193570709175600000,,,66000,66000
5/17/17,7/14/16,1,North America,Partner - OnPremise Product,Closed Lost,3 Years,31234687039787100000,22000,,66000,66000
7/5/17,8/15/16,1,North America,Partner - Cloud Product,Closed Lost,3 Years,99382688839645200000,202000,       ,225000,225000
1/26/17,8/18/16,0,North America,Partner - Cloud Product,Closed Lost,Annual,65008558422334800000,,,175500,175500
1/18/17,10/21/16,0,North America,Partner - OnPremise Product,Closed Lost,Annual,18203318493541100000,22000,,22000,22000
6/30/17,10/21/16,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,63845383709046100000,159580,47250,225000,177750
8/29/17,5/8/17,1,North America,Partner - OnPremise Product,Closed Won - Not Paid,3 Years,33655288775260500000,54750,60750,225000,164250
7/19/17,5/11/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,48389160798216600000,173200,       ,225000,225000
7/19/17,5/14/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,33075620846205100000,55000,       ,96000,96000
8/9/17,5/19/17,1,North America,Partner - Cloud Product,Closed Won - Not Paid,3 Years,13071585479390000000,120280,108300,285000,176700
7/18/17,5/25/17,1,North America,Direct - OnPremise Product,Closed Lost,3 Years,10064418756915400000,22000,       ,66000,66000
5/10/17,5/25/17,1,North America,Direct - Cloud Product,Closed Won - Paid,3 Years,52894407336661400000,122435,92250,225000,132750
6/29/17,6/7/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,29263899612735100000,74700,123750,225000,101250
3/23/17,2/27/17,1,North America,Partner - Cloud Product,Closed Won - Paid,3 Years,60855008092640600000,65165,25800,157500,131700
5/26/17,3/6/17,1,North America,Partner - Cloud Product,Closed Lost,3 Years,22261059965329500000,232650,236250,525000,288750
4/18/17,3/10/17,1,North America,Partner - OnPremise Product,Closed Lost,,18209600382284600000,100000,,100000,100000
3/31/17,3/24/17,1,North America,Partner - OnPremise Product,Closed Won - Paid,3 Years,47502357689056300000,26240,17280,96000,78720
3/31/17,3/28/17,1,North America,Direct - Cloud Product,Closed Won - Not Paid,Annual,95732348752342000000,32750,4400,22000,17600
5/8/17,4/1/17,1,North America,Partner - OnPremise Product,Closed Won - Not Paid,2 Years,33837779002976200000,42500,20000,105000,85000
7/26/17,4/6/17,1,North America,Partner - Cloud Product,Closed Lost,Annual,51655321626495100000,79125,9375,37500,28125
